,prefecture,beer,adult,per_beer,ave_temp
0,北海道,113097000,4509363,25.080482542656245,9.5
1,青森,23177000,1103183,21.00920699466906,11.0
2,岩手,24879000,1059293,23.48641971579157,11.0
3,宮城,43152000,1915548,22.527235026217042,13.6
4,秋田,19229000,868937,22.12933733976111,12.3
5,山形,19776000,924199,21.39798896125185,12.6
6,福島,34195000,1595503,21.432112631565094,14.2
7,茨城,42922000,2443898,17.56292611230092,15.3
8,栃木,30745000,1642620,18.717049591506253,15.2
9,群馬,29684000,1646104,18.032882491021223,16.1
10,埼玉,90860000,6096407,14.903860585423512,16.4
11,新潟,45720000,1907772,23.96512790836641,14.3
12,長野,39741000,1746050,22.76051659459924,13.0
13,千葉,85494000,5231131,16.343310844251462,17.2
14,東京,466125000,11493560,40.55531967466999,16.8
15,神奈川,152317000,7601252,20.038409462020205,17.1
16,山梨,13434000,696023,19.301086314676382,16.0
17,富山,21496000,893015,24.071264200489352,15.0
18,石川,22385000,946198,23.65783905694157,15.5
19,福井,13486000,648910,20.78254303370267,15.3
20,岐阜,25428000,1687256,15.070623544974799,16.9
21,静岡,57531000,3093014,18.60030378136019,17.7
22,愛知,131666000,6145895,21.423405378712133,16.9
23,三重,26243000,1512253,17.353577741290643,16.9
24,滋賀,15739000,1142334,13.777931848303561,15.7
25,京都,57319000,2126007,26.960870777941935,16.9
26,大阪,215191000,7330851,29.35416365712521,17.4
27,兵庫,93560000,4598876,20.344101471750925,17.4
28,奈良,18448000,1136450,16.233006291521843,16.2
29,和歌山,14490000,813891,17.80336678990184,17.3
30,鳥取,10002000,470863,21.241847416339784,15.7
31,島根,11323000,572561,19.776058795482054,15.6
32,岡山,25022000,1576199,15.874899045107883,16.3
33,広島,50304000,2339501,21.502021157503247,16.8
34,山口,21732000,1165183,18.65114750215202,16.0
35,徳島,12122000,634532,19.10384346258345,17.1
36,香川,15269000,819653,18.628614791869243,17.0
37,愛媛,23029000,1160477,19.84442604204995,17.1
38,高知,15286000,609848,25.06526216368669,17.4
39,福岡,91566000,4194243,21.83135311902529,17.7
40,佐賀,13183000,675917,19.50387399636346,17.4
41,長崎,22218000,1136351,19.552057418878498,17.7
42,熊本,27073000,1463363,18.50053609391518,17.5
43,大分,19316000,968502,19.944202490030996,17.1
44,宮崎,19994000,909293,21.98851195379267,17.8
45,鹿児島,20674000,1355120,15.25621347186965,19.0
