都道府県,ビール
北海道,113097
青  森,23177
岩  手,24879
宮  城,43152
秋  田,19229
山  形,19776
福  島,34195
茨  城,42922
栃  木,30745
群  馬,29684
埼  玉,90860
新  潟,45720
長  野,39741
千  葉,85494
東  京,466125
神奈川,152317
山  梨,13434
富  山,21496
石  川,22385
福  井,13486
岐  阜,25428
静  岡,57531
愛  知,131666
三  重,26243
滋  賀,15739
京  都,57319
大  阪,215191
兵  庫,93560
奈  良,18448
和歌山,14490
鳥  取,10002
島  根,11323
岡  山,25022
広  島,50304
山  口,21732
徳  島,12122
香  川,15269
愛  媛,23029
高  知,15286
福  岡,91566
佐  賀,13183
長  崎,22218
熊  本,27073
大  分,19316
宮  崎,19994
鹿児島,20674
,
